Date,Product,Quantity,Price
2025-11-15,Apple iPad Air,9,124999.00
2025-11-01,LG Air Conditioner,4,144104.74
2025-11-17,Panasonic Microwave Oven,10,17603.34
2025-11-08,Apple iPhone 15,5,76339.22
2025-11-01,LG Smart Refrigerator,3,43348.70
2025-11-28,Dell Inspiron Laptop,3,80273.81
2025-11-27,Boat Bluetooth Speaker,6,61963.75
2025-11-29,LG Smart Refrigerator,5,141357.02
2025-11-01,Xiaomi Mi 11 Mobile,7,53087.77
2025-11-06,Dell Inspiron Laptop,9,49471.89
2025-11-12,Xiaomi Mi 11 Mobile,8,56922.87
2025-11-22,Sony Noise-Cancelling Headphones,10,118115.26
2025-11-16,Apple iPhone 15,1,72142.20
2025-11-04,Xiaomi Mi 11 Mobile,9,82454.42
2025-11-13,LG Smart Refrigerator,1,129387.78
2025-11-24,Xiaomi Mi 11 Mobile,6,73520.56
2025-11-20,Lenovo Tablet,3,113277.62
2025-11-14,Panasonic Microwave Oven,2,17252.72
2025-11-23,Bajaj Mixer Grinder,4,125322.94
2025-11-11,Samsung Galaxy Watch,2,63940.59
2025-11-25,HP Pavilion Laptop,10,37130.89
2025-11-09,Haier Deep Freezer,2,99514.50
2025-11-24,Boat Bluetooth Speaker,7,72836.79
2025-11-04,Bosch Dishwasher,8,49443.88
2025-11-04,Haier Deep Freezer,7,32780.83
2025-11-22,Bosch Dishwasher,4,41415.56
2025-11-28,Xiaomi Mi 11 Mobile,10,125511.88
2025-11-18,Whirlpool Washing Machine,4,67483.43
2025-11-29,Panasonic Microwave Oven,5,42157.97
2025-11-01,Apple iPad Air,9,16597.09
2025-11-19,Haier Deep Freezer,3,62712.76
2025-11-11,Samsung Galaxy Watch,10,24674.43
2025-11-26,Samsung 55-inch LED TV,8,10238.33
2025-11-06,Sony Noise-Cancelling Headphones,6,106922.46
2025-11-01,Whirlpool Washing Machine,1,33042.45
2025-11-26,Samsung 55-inch LED TV,5,99752.16
2025-11-05,Apple iPhone 15,4,49044.25
2025-11-18,Apple iPhone 15,7,147245.25
2025-11-19,LG Smart Refrigerator,1,85080.20
2025-11-08,HP Pavilion Laptop,6,39989.44
2025-11-21,Haier Deep Freezer,2,113816.26
2025-11-16,Xiaomi Mi 11 Mobile,10,82734.66
2025-11-23,Panasonic Microwave Oven,5,103038.12
2025-11-10,OnePlus Nord CE 5G,9,113036.59
2025-11-09,Sony Noise-Cancelling Headphones,10,53677.29
2025-11-14,Samsung 55-inch LED TV,10,23001.48
2025-11-03,Bosch Dishwasher,3,143987.20
2025-11-06,Canon DSLR Camera,4,83473.36
2025-11-04,Samsung 55-inch LED TV,1,96482.39
2025-11-24,OnePlus Nord CE 5G,8,117331.32
2025-11-15,Panasonic Microwave Oven,2,131771.70
2025-11-30,Bajaj Mixer Grinder,5,125998.40
2025-11-27,Dell Inspiron Laptop,7,107203.25
2025-11-25,Apple iPhone 15,5,128361.99
2025-11-28,Apple iPhone 15,6,115854.93
2025-11-07,Whirlpool Washing Machine,5,106875.57
2025-11-16,Boat Bluetooth Speaker,8,97010.98
2025-11-10,LG Air Conditioner,8,122737.12
2025-11-10,Samsung 55-inch LED TV,10,140874.69
2025-11-01,Whirlpool Washing Machine,9,28944.40
2025-11-24,Haier Deep Freezer,9,131935.24
2025-11-19,Dell Inspiron Laptop,3,66124.32
2025-11-07,Philips Air Purifier,8,52764.90
2025-11-13,Boat Bluetooth Speaker,7,43198.76
2025-11-19,Samsung Galaxy Watch,10,82754.61
2025-11-10,Philips Air Purifier,3,133494.18
2025-11-25,Apple iPhone 15,10,82522.54
2025-11-12,Dell Inspiron Laptop,1,145256.92
2025-11-21,Bajaj Mixer Grinder,3,72619.53
2025-11-20,Sony Noise-Cancelling Headphones,8,127839.31
2025-11-19,OnePlus Nord CE 5G,10,112594.03
2025-11-22,Canon DSLR Camera,3,135175.51
2025-11-16,Apple iPad Air,4,76822.32
2025-11-30,Lenovo Tablet,8,131519.32
2025-11-04,Boat Bluetooth Speaker,3,130219.40
2025-11-09,LG Air Conditioner,9,102237.72
2025-11-19,Philips Air Purifier,8,149925.82
2025-11-30,Samsung Galaxy Watch,9,12031.12
2025-11-05,Samsung Galaxy Watch,8,69513.26
2025-11-13,Samsung 55-inch LED TV,8,59983.82
2025-11-13,Dell Inspiron Laptop,3,23534.29
2025-11-04,Dell Inspiron Laptop,5,54303.87
2025-11-01,Sony Noise-Cancelling Headphones,10,64492.70
2025-11-16,Boat Bluetooth Speaker,4,96298.53
2025-11-25,Samsung Galaxy Watch,5,119301.23
2025-11-25,Samsung Galaxy Watch,2,49112.82
2025-11-17,Sony Noise-Cancelling Headphones,3,115832.37
2025-11-20,Xiaomi Mi 11 Mobile,1,17289.55
2025-11-04,LG Smart Refrigerator,6,91310.96
2025-11-04,Philips Air Purifier,3,136120.77
2025-11-16,Apple iPad Air,10,121323.65
2025-11-09,Boat Bluetooth Speaker,10,149608.00
2025-11-03,Apple iPhone 15,2,121710.46
2025-11-09,HP Pavilion Laptop,8,63695.35
2025-11-10,Bajaj Mixer Grinder,10,94353.42
2025-11-11,Lenovo Tablet,5,52211.84
2025-11-28,Dell Inspiron Laptop,6,11506.64
2025-11-21,Bajaj Mixer Grinder,6,140338.40
2025-11-10,Sony Noise-Cancelling Headphones,1,94734.71
2025-11-10,Bajaj Mixer Grinder,6,63300.65
