Date,Product,Quantity,Price
2025-11-16,Philips Air Purifier,6,143051.76
2025-11-25,Sony Noise-Cancelling Headphones,8,74169.49
2025-11-22,HP Pavilion Laptop,9,147280.17
2025-11-18,Bajaj Mixer Grinder,6,102517.27
2025-11-07,Bajaj Mixer Grinder,10,97419.33
2025-11-24,Canon DSLR Camera,9,138795.99
2025-11-14,LG Smart Refrigerator,8,107890.34
2025-11-15,Canon DSLR Camera,10,138239.18
2025-11-12,OnePlus Nord CE 5G,4,29673.82
2025-11-25,Bosch Dishwasher,4,53443.47
2025-11-16,Canon DSLR Camera,5,27900.26
2025-11-07,Canon DSLR Camera,7,137418.03
2025-11-19,Xiaomi Mi 11 Mobile,3,128992.47
2025-11-28,Boat Bluetooth Speaker,4,110091.65
2025-11-13,LG Smart Refrigerator,1,135955.96
2025-11-05,LG Smart Refrigerator,4,144752.26
2025-11-24,Panasonic Microwave Oven,3,115942.44
2025-11-18,Samsung Galaxy Watch,10,119871.89
2025-11-09,Canon DSLR Camera,3,132939.04
2025-11-27,Apple iPad Air,10,110361.61
2025-11-21,Xiaomi Mi 11 Mobile,4,138086.42
2025-11-06,Samsung 55-inch LED TV,1,110071.51
2025-11-12,Xiaomi Mi 11 Mobile,10,76830.66
2025-11-23,Lenovo Tablet,5,86857.40
2025-11-05,Bajaj Mixer Grinder,6,87443.41
2025-11-04,Dell Inspiron Laptop,7,143065.87
2025-11-12,OnePlus Nord CE 5G,10,21560.81
2025-11-19,Bajaj Mixer Grinder,9,63596.26
2025-11-20,Boat Bluetooth Speaker,7,149305.66
2025-11-30,Lenovo Tablet,1,106996.58
2025-11-06,OnePlus Nord CE 5G,4,65643.51
2025-11-22,HP Pavilion Laptop,6,103714.30
2025-11-02,Lenovo Tablet,5,127983.14
2025-11-30,Lenovo Tablet,1,119811.84
2025-11-26,Canon DSLR Camera,7,14058.71
2025-11-13,Canon DSLR Camera,6,82914.66
2025-11-15,Samsung 55-inch LED TV,10,50772.37
2025-11-02,Lenovo Tablet,9,45008.96
2025-11-07,Lenovo Tablet,6,20038.42
2025-11-05,Samsung Galaxy Watch,5,128289.26
2025-11-28,LG Smart Refrigerator,2,99392.78
2025-11-17,Boat Bluetooth Speaker,9,79441.08
2025-11-18,LG Air Conditioner,5,18276.08
2025-11-05,Philips Air Purifier,9,146907.47
2025-11-18,Apple iPhone 15,1,125079.26
2025-11-28,LG Smart Refrigerator,1,102088.32
2025-11-17,Apple iPhone 15,2,78387.03
2025-11-04,Apple iPhone 15,4,76366.87
2025-11-29,Samsung Galaxy Watch,7,11670.80
2025-11-21,Canon DSLR Camera,8,119861.61
2025-11-19,Panasonic Microwave Oven,3,130979.84
2025-11-30,Whirlpool Washing Machine,7,59339.91
2025-11-01,HP Pavilion Laptop,7,112637.44
2025-11-05,Xiaomi Mi 11 Mobile,4,110658.09
2025-11-06,LG Air Conditioner,1,9491.88
2025-11-18,Apple iPhone 15,1,13954.90
2025-11-21,LG Air Conditioner,8,146728.50
2025-11-03,HP Pavilion Laptop,4,14768.32
2025-11-26,LG Smart Refrigerator,6,85783.00
2025-11-11,Samsung Galaxy Watch,8,62584.66
2025-11-12,Samsung 55-inch LED TV,4,77168.81
2025-11-03,LG Smart Refrigerator,1,10556.62
2025-11-05,LG Smart Refrigerator,6,94503.92
2025-11-02,Samsung Galaxy Watch,7,15601.69
2025-11-15,LG Smart Refrigerator,10,33519.96
2025-11-28,Dell Inspiron Laptop,4,31515.82
2025-11-06,Dell Inspiron Laptop,6,116072.39
2025-11-10,Haier Deep Freezer,10,107303.15
2025-11-09,LG Smart Refrigerator,7,55899.24
2025-11-16,LG Air Conditioner,5,68231.93
2025-11-22,OnePlus Nord CE 5G,5,55785.14
2025-11-23,Philips Air Purifier,3,149092.90
2025-11-01,Dell Inspiron Laptop,2,35731.15
2025-11-27,HP Pavilion Laptop,5,112698.89
2025-11-04,Panasonic Microwave Oven,2,126663.26
2025-11-14,LG Smart Refrigerator,8,79627.11
2025-11-23,Lenovo Tablet,8,146445.77
2025-11-04,Lenovo Tablet,10,22235.45
2025-11-21,Whirlpool Washing Machine,3,147237.94
2025-11-05,Xiaomi Mi 11 Mobile,10,87619.18
2025-11-15,LG Air Conditioner,8,34397.37
2025-11-15,Panasonic Microwave Oven,2,136499.43
2025-11-18,Boat Bluetooth Speaker,2,11661.19
2025-11-02,LG Air Conditioner,3,60782.88
2025-11-09,Panasonic Microwave Oven,10,116613.32
2025-11-16,Whirlpool Washing Machine,7,131200.15
2025-11-01,Apple iPhone 15,5,95104.01
2025-11-09,Samsung Galaxy Watch,6,124369.69
2025-11-30,Dell Inspiron Laptop,4,114815.03
2025-11-02,Haier Deep Freezer,2,66450.35
2025-11-18,LG Smart Refrigerator,5,44551.81
2025-11-05,Bajaj Mixer Grinder,10,144513.42
2025-11-08,Bosch Dishwasher,1,23906.30
2025-11-13,Bajaj Mixer Grinder,1,46805.41
2025-11-19,Apple iPhone 15,5,24362.23
2025-11-08,Canon DSLR Camera,6,106275.58
2025-11-09,Panasonic Microwave Oven,9,35852.45
2025-11-29,Xiaomi Mi 11 Mobile,1,11359.50
2025-11-06,Xiaomi Mi 11 Mobile,10,128484.68
2025-11-23,Boat Bluetooth Speaker,8,124851.93
